LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Ext.Price,Product Link
C459870,LT1931ES5#TRPBF,Analog Devices,TSOT-23-5,,Buck-boost type Adjustable -34V~-1.255V 1A 2.45V~16V TSOT-23-5  DC-DC Converters ROHS,yes,1,1,2.9766,2.98,https://assets.lcsc.com/images/lcsc/96x96/20230108_Analog-Devices-LT1931ES5-TRPBF_C459870_front.jpg
C544819,LM337LMX/NOPB,Texas Instruments,SOIC-8,,100mA 60dB@(120Hz) Adjustable 1.2V~37V Negative electrode 40V SOIC-8  Linear Voltage Regulators (LDO) ROHS,yes,1,1,0.5757,0.58,https://assets.lcsc.com/images/lcsc/96x96/20230104_Texas-Instruments-LM337LMX-NOPB_C544819_front.jpg
C7465190,B1212S-1WR3,EVISUN,SIP-4,,12V 84mA 10.8V~13.2V 1W DC-DC 82% SIP-4  Power Modules ROHS,yes,1,1,0.8157,0.82,https://assets.lcsc.com/images/lcsc/96x96/20230908_EVISUN-B1212S-1WR3_C7465190_front.jpg
C970791,K7805-2000R3,MORNSUN Guangzhou S& T,"SIP,11.5x9mm",,"5V 2A 8V~36V 10W 92% SIP,11.5x9mm  Power Modules ROHS",yes,1,1,3.7182,3.72,https://assets.lcsc.com/images/lcsc/96x96/20230131_MORNSUN-Guangzhou-S--T-K7805-2000R3_C970791_front.jpg
C2847671,2510-4A,CAX,"Plugin,P=2.54mm",,"1x4P 4P 1 2.54mm 4 -25℃~+85℃ 3A Straight Plugin,P=2.54mm  Wire To Board Connector ROHS",yes,50,50,0.0135,0.68,https://assets.lcsc.com/images/lcsc/96x96/20230121_CAX-2510-4A_C2847671_front.jpg
C2982031,HC-2510-2A,HCTL,"Plugin,P=2.54mm",,"1x2P 2P 1 Tin 2.54mm 2 -25℃~+85℃ Brass 4A Straight Plugin,P=2.54mm  Wire To Board Connector ROHS",yes,20,20,0.0173,0.35,https://assets.lcsc.com/images/lcsc/96x96/20230122_HCTL-HC-2510-2A_C2982031_front.jpg
C2908633,PH-12A,HCTL,"Plugin,P=2mm",,"1x12P 12P PH 1 Tin 2mm 12 -20℃~+85℃ Brass 2A Straight Plugin,P=2mm  Wire To Board Connector ROHS",yes,10,10,0.0572,0.57,https://assets.lcsc.com/images/lcsc/96x96/20230321_HCTL-PH-12A_C2908633_front.jpg
C2480,SS14,MDD(Microdiode Electronics),SMA(DO-214AC),,40V Single 1A 550mV@1A SMA(DO-214AC)  Schottky Barrier Diodes (SBD) ROHS,yes,50,50,0.0135,0.68,https://assets.lcsc.com/images/lcsc/96x96/20230314_MDD-Microdiode-Electronics-SS14_C2480_front.jpg
C28322,CL31B105KAHNNNE,Samsung Electro-Mechanics,1206,,25V 1uF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,20,20,0.0195,0.39,https://assets.lcsc.com/images/lcsc/96x96/20180914_Samsung-Electro-Mechanics-CL31B105KAHNNNE_C28322_front.jpg
C242129,EEEFTH100UAR,PANASONIC,"SMD,D4xL5.8mm",,"10uF 50V 85mA@100kHz 2.3Ω@100kHz ±20% SMD,D4xL5.8mm  Aluminum Electrolytic Capacitors - SMD ROHS",yes,5,5,0.1921,0.96,https://assets.lcsc.com/images/lcsc/96x96/20180918_PANASONIC-EEEFTH100UAR_C242129_front.jpg
C2884775,SS-12D11L7,XKB Connection,Plugin,,Lying 3A SPDT 125V 125V 3A 1万次 Black Plugin  Slide Switches ROHS,yes,1,1,0.3432,0.34,https://assets.lcsc.com/images/lcsc/96x96/20230121_XKB-Connection-SS-12D11L7_C2884775_front.jpg
C310999,F1206SB2500V032TM,AEM,1206,,50A SMD Fuse 2.5A 32V 1206  Fuses ROHS,yes,5,5,0.2342,1.17,https://assets.lcsc.com/images/lcsc/96x96/20181210_AEM-F1206SB2500V032TM_C310999_front.jpg
C2592,IRLML5203TRPBF,Infineon Technologies,SOT-23,,"30V 3A 1.25W 98mΩ@10V,3A 2.5V@250uA P Channel SOT-23  MOSFETs ROHS",yes,5,5,0.1333,0.67,https://assets.lcsc.com/images/lcsc/96x96/20180914_Infineon-Technologies-IRLML5203TRPBF_C2592_front.jpg
C526493,BZT52C9V1TQ-7-F,Diodes Incorporated,SOD-523,,Single 8.5V~9.6V 300mW 9.1V SOD-523  Zener Diodes ROHS,yes,10,10,0.0294,0.29,https://assets.lcsc.com/images/lcsc/96x96/20230203_Diodes-Incorporated-BZT52C9V1TQ-7-F_C526493_front.jpg
C16214,DC-005 2.0,BOOMELE(Boom Precision Elec),Plugin,,Right-Angle DC Power Receptacle 2mm 6.4mm Plugin  DC Power Connector ROHS,yes,10,10,0.0537,0.54,https://assets.lcsc.com/images/lcsc/96x96/20221228_BOOMELE-Boom-Precision-Elec-DC-005-2-0_C16214_front.jpg
C2837019,TJ-L5FCMXHMCYLCRGB-A5,TOGIALED,"Plugin,D=5mm",,"20mA 无色透明透镜 -20℃~+80℃ Common anode RGB 5mm圆形灯头 320mW Plugin,D=5mm  Light Emitting Diodes (LED) ROHS",yes,5,5,0.1005,0.50,https://assets.lcsc.com/images/lcsc/96x96/20230120_TOGIALED-TJ-L5FCMXHMCYLCRGB-A5_C2837019_front.jpg
C492261,CD32YP0302-100M,YJYCOIN,"SMD,3.5x3x2.1mm",,"1A 10uH ±20% SMD,3.5x3x2.1mm  Power Inductors ROHS",yes,10,10,0.0399,0.40,https://assets.lcsc.com/images/lcsc/96x96/20230119_YJYCOIN-CD32YP0302-100M_C492261_front.jpg
C170102,CL31B225KAHNNNE,Samsung Electro-Mechanics,1206,,25V 2.2uF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,20,20,0.0265,0.53,https://assets.lcsc.com/images/lcsc/96x96/20240318_Samsung-Electro-Mechanics-CL31B225KAHNNNE_C170102_front.jpg
